claim_type,claim_id,claim_text,contrast_id,metric,status,supporting_evidence,reproduction_command,unresolved_terms
hypothesis,H1,"On the datasets whose published grouping satisfies split_unit: specimen, the frozen real olfactory connectome reservoir (R0) achieves a higher macro-F1 than the degree-preserving rewired control (R2) ",R0_vs_R2,macro_f1,PENDING (E2/E1-reservoir bundle),,python -m drososense.evaluation.evidence_stats --experiment e2_topology,
hypothesis,H2,R0 achieves higher macro-F1 than an echo-state network (R4) with matched size and edge density.,R0_vs_R4,macro_f1,PENDING (E2/E1-reservoir bundle),,python -m drososense.evaluation.evidence_stats --experiment e2_topology,
hypothesis,H3,R0 achieves higher macro-F1 than a random sparse reservoir (R3) with matched node and edge count.,R0_vs_R3,macro_f1,PENDING (E2/E1-reservoir bundle),,python -m drososense.evaluation.evidence_stats --experiment e2_topology,
hypothesis,H4,R0 achieves higher macro-F1 than a tuned GRU baseline.,R0_vs_GRU,macro_f1,PENDING (E2/E1-reservoir bundle),,python -m drososense.evaluation.evidence_stats --experiment e2_topology,
hypothesis,H5,"R0 retains a larger fraction of its full-data macro-F1 than R4 at 10% and 25% training specimens (low-data robustness).
",R0_vs_R4,retention_ratio_10pct,PENDING (E2/E1-reservoir bundle),,python -m drososense.evaluation.evidence_stats --experiment e2_topology,
hypothesis,H6,R0 degrades less than R4 under sensor-channel dropout at p_drop in {0.1..0.5}.,R0_vs_R4,macro_f1,PENDING (E2/E1-reservoir bundle),,python -m drososense.evaluation.evidence_stats --experiment e2_topology,
gate,Gate_A,"sum([ ci_contains_zero(R0, R4, macro_f1, D2) or noninferior(R0, R4, macro_f1, D2), ci_contains_zero(R0, R4, macro_f1, D3) or noninferior(R0, R4, macro_f1, D3) ]) == 2 and params(R0) < params(GRU)",,,UNEVALUABLE,Gate_A: no result for contrast R0_vs_R4 on macro_f1/d3_rainbow_trout/full; the gate cannot be evaluated,python -m drososense.evaluation.evidence_stats --experiment e2_main_d2,
gate,Gate_B,"sig(R0, R2, macro_f1, D2) or sig(R0, R2, macro_f1, D3) or sig_any(R0, R4, macro_f1, [D2, D3], [""dropout_p0.3"", ""noise_s0.1"", ""train10pct"", ""train25pct""])",,,UNEVALUABLE,Gate_B: no result for contrast R0_vs_R2 on macro_f1/d3_rainbow_trout/full; the gate cannot be evaluated,python -m drososense.evaluation.evidence_stats --experiment e2_main_d2,
gate,Gate_C,"sig(R0, R2, macro_f1, D3) and sig(R0, R3, macro_f1, D3) and sig_any(R0, R4, macro_f1, [D2, D3], [""dropout_p0.3"", ""noise_s0.1"", ""train10pct"", ""train25pct""])",,,UNEVALUABLE,Gate_C: no result for contrast R0_vs_R2 on macro_f1/d3_rainbow_trout/full; the gate cannot be evaluated,python -m drososense.evaluation.evidence_stats --experiment e2_main_d2,
narrative_rule,N1,"equiv(R0, R2, macro_f1, D3) and sig(R0, R3, macro_f1, D3)",,,NOT FIRED — N1: no result for contrast R0_vs_R2 on macro_f1/d3_rainbow_trout/full; the gate ,"Conclude that degree / statistical structure matters, not the specific Drosophila wiring. Rewrite the title and abstract accordingly. It is forbidden to state that the biological wiring is important.",python -m drososense.evaluation.evidence_stats --experiment e2_main_d2,N1: no result for contrast R0_vs_R2 on macro_f1/d3_rainbow_trout/full; the gate cannot be evaluated
narrative_rule,N2,"equiv(R0, R4, macro_f1, D3) and sig_any(R0, R4, macro_f1, [D2, D3], [""dropout_p0.3"", ""noise_s0.1""])",,,NOT FIRED — N2: no result for contrast R0_vs_R4 on macro_f1/d3_rainbow_trout/full; the gate ,Reframe the paper as a robust sparse biological reservoir contribution rather than a performance contribution. Performance claims are dropped from the title and abstract.,python -m drososense.evaluation.evidence_stats --experiment e2_main_d2,N2: no result for contrast R0_vs_R4 on macro_f1/d3_rainbow_trout/full; the gate cannot be evaluated
narrative_rule,N3,"sig(R4, R0, macro_f1, D3)",,,NOT FIRED — N3: no result for contrast R4_vs_R0 on macro_f1/d3_rainbow_trout/full; the gate ,Report the negative result honestly. Reframe as an investigation of why biological connectomes do not transfer directly to artificial sensory streams; state explicitly that this may be a computational,python -m drososense.evaluation.evidence_stats --experiment e2_main_d2,N3: no result for contrast R4_vs_R0 on macro_f1/d3_rainbow_trout/full; the gate cannot be evaluated
narrative_rule,N4,"(sig(R0, R2, macro_f1, D2) and sig(R2, R0, macro_f1, D3)) or (sig(R2, R0, macro_f1, D2) and sig(R0, R2, macro_f1, D3))",,,NOT FIRED — N4: no result for contrast R2_vs_R0 on macro_f1/d3_rainbow_trout/full; the gate ,Report both. Cross-food generalization is claimed only if the ordering is consistent across both foods; otherwise the inconsistency is reported as a limitation and no cross-food claim is made.,python -m drososense.evaluation.evidence_stats --experiment e2_main_d2,N4: no result for contrast R2_vs_R0 on macro_f1/d3_rainbow_trout/full; the gate cannot be evaluated
narrative_rule,N5,unavailable(D1) or unavailable(D2) or unavailable(D3),,,NOT FIRED,"Report the blocker with the exact manual acquisition steps. Do not run, plot or tabulate a substitute. The affected dataset is marked UNAVAILABLE in every table.",python -m drososense.evaluation.evidence_stats --experiment e2_main_d2,
contrast_status,R0_vs_GRU,R0_vs_GRU/macro_f1/d2_beef_uncontrolled/classification,R0_vs_GRU,macro_f1,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and GRU (resolved to 'GRU')",python -m drososense.evaluation.evidence_stats --experiment e2_main_d2,
contrast_status,R0_vs_GRU,R0_vs_GRU/mae/d2_beef_uncontrolled/regression,R0_vs_GRU,mae,unpairable,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and GRU (resolved to 'GRU')",python -m drososense.evaluation.evidence_stats --experiment e2_main_d2,
